Date,Term,Contexts,Programs,Total Matches
2015-09-01,Ben Carson,11,13,19
2015-09-01,Carly Fiorina,4,4,6
2015-09-01,Chris Christie,8,12,21
2015-09-01,Donald Trump,27,28,83
2015-09-01,Jeb Bush,4,4,4
2015-09-01,John Kasich,0,0,0
2015-09-01,Marco Rubio,2,2,2
2015-09-01,Rand Paul,0,0,0
2015-09-01,Ted Cruz,2,2,3
2015-09-02,Ben Carson,3,3,4
2015-09-02,Carly Fiorina,4,4,4
2015-09-02,Chris Christie,1,1,2
2015-09-02,Donald Trump,20,20,55
2015-09-02,Jeb Bush,13,14,44
2015-09-02,John Kasich,0,0,0
2015-09-02,Marco Rubio,0,0,0
2015-09-02,Rand Paul,0,0,0
2015-09-02,Ted Cruz,0,0,0
2015-09-03,Ben Carson,4,4,4
2015-09-03,Carly Fiorina,3,4,4
2015-09-03,Chris Christie,3,3,4
2015-09-03,Donald Trump,30,31,101
2015-09-03,Jeb Bush,20,20,42
2015-09-03,John Kasich,0,0,0
2015-09-03,Marco Rubio,1,1,1
2015-09-03,Rand Paul,3,3,5
2015-09-03,Ted Cruz,1,1,1
2015-09-04,Ben Carson,5,6,6
2015-09-04,Carly Fiorina,1,1,1
2015-09-04,Chris Christie,2,2,2
2015-09-04,Donald Trump,30,32,84
2015-09-04,Jeb Bush,9,11,16
2015-09-04,John Kasich,0,0,0
2015-09-04,Marco Rubio,1,1,1
2015-09-04,Rand Paul,2,2,2
2015-09-04,Ted Cruz,1,1,1
2015-09-05,Ben Carson,1,1,1
2015-09-05,Carly Fiorina,0,0,0
2015-09-05,Chris Christie,3,6,9
2015-09-05,Donald Trump,10,11,21
2015-09-05,Jeb Bush,2,2,4
2015-09-05,John Kasich,0,0,0
2015-09-05,Marco Rubio,0,0,0
2015-09-05,Rand Paul,0,0,0
2015-09-05,Ted Cruz,0,0,0
2015-09-06,Ben Carson,5,5,12
2015-09-06,Carly Fiorina,7,7,12
2015-09-06,Chris Christie,1,1,2
2015-09-06,Donald Trump,18,18,90
2015-09-06,Jeb Bush,6,6,38
2015-09-06,John Kasich,5,5,6
2015-09-06,Marco Rubio,3,3,4
2015-09-06,Rand Paul,1,1,1
2015-09-06,Ted Cruz,3,3,3
2015-09-07,Ben Carson,5,5,7
2015-09-07,Carly Fiorina,5,7,7
2015-09-07,Chris Christie,0,0,0
2015-09-07,Donald Trump,18,21,61
2015-09-07,Jeb Bush,5,6,12
2015-09-07,John Kasich,5,8,8
2015-09-07,Marco Rubio,2,4,4
2015-09-07,Rand Paul,0,0,0
2015-09-07,Ted Cruz,4,4,4
2015-09-08,Ben Carson,4,4,6
2015-09-08,Carly Fiorina,1,1,1
2015-09-08,Chris Christie,1,2,2
2015-09-08,Donald Trump,25,27,48
2015-09-08,Jeb Bush,14,19,25
2015-09-08,John Kasich,1,1,1
2015-09-08,Marco Rubio,3,3,3
2015-09-08,Rand Paul,0,0,0
2015-09-08,Ted Cruz,5,5,5
2015-09-09,Ben Carson,0,0,0
2015-09-09,Carly Fiorina,0,0,0
2015-09-09,Chris Christie,2,4,5
2015-09-09,Donald Trump,30,33,80
2015-09-09,Jeb Bush,13,20,33
2015-09-09,John Kasich,0,0,0
2015-09-09,Marco Rubio,0,0,0
2015-09-09,Rand Paul,0,0,0
2015-09-09,Ted Cruz,8,14,17
2015-09-10,Ben Carson,12,12,21
2015-09-10,Carly Fiorina,14,14,35
2015-09-10,Chris Christie,1,1,1
2015-09-10,Donald Trump,28,32,123
2015-09-10,Jeb Bush,9,9,15
2015-09-10,John Kasich,0,0,0
2015-09-10,Marco Rubio,0,0,0
2015-09-10,Rand Paul,0,0,0
2015-09-10,Ted Cruz,5,7,10
2015-09-11,Ben Carson,12,12,17
2015-09-11,Carly Fiorina,17,21,35
2015-09-11,Chris Christie,6,7,11
2015-09-11,Donald Trump,40,42,116
2015-09-11,Jeb Bush,16,16,23
2015-09-11,John Kasich,1,1,1
2015-09-11,Marco Rubio,1,1,1
2015-09-11,Rand Paul,3,3,3
2015-09-11,Ted Cruz,2,4,6
2015-09-12,Ben Carson,3,3,4
2015-09-12,Carly Fiorina,1,1,1
2015-09-12,Chris Christie,0,0,0
2015-09-12,Donald Trump,12,12,29
2015-09-12,Jeb Bush,0,0,0
2015-09-12,John Kasich,0,0,0
2015-09-12,Marco Rubio,1,1,1
2015-09-12,Rand Paul,1,1,1
2015-09-12,Ted Cruz,0,0,0
2015-09-13,Ben Carson,12,18,55
2015-09-13,Carly Fiorina,4,4,10
2015-09-13,Chris Christie,6,7,13
2015-09-13,Donald Trump,22,23,114
2015-09-13,Jeb Bush,5,5,6
2015-09-13,John Kasich,2,3,4
2015-09-13,Marco Rubio,4,4,6
2015-09-13,Rand Paul,6,9,11
2015-09-13,Ted Cruz,3,3,4
2015-09-14,Ben Carson,13,16,28
2015-09-14,Carly Fiorina,6,6,6
2015-09-14,Chris Christie,3,5,7
2015-09-14,Donald Trump,29,30,81
2015-09-14,Jeb Bush,7,7,8
2015-09-14,John Kasich,1,1,1
2015-09-14,Marco Rubio,0,0,0
2015-09-14,Rand Paul,1,1,1
2015-09-14,Ted Cruz,4,4,4
2015-09-15,Ben Carson,13,14,21
2015-09-15,Carly Fiorina,12,13,14
2015-09-15,Chris Christie,4,5,6
2015-09-15,Donald Trump,37,39,116
2015-09-15,Jeb Bush,6,9,13
2015-09-15,John Kasich,1,2,2
2015-09-15,Marco Rubio,1,1,1
2015-09-15,Rand Paul,0,0,0
2015-09-15,Ted Cruz,1,1,1
2015-09-16,Ben Carson,23,27,43
2015-09-16,Carly Fiorina,17,19,24
2015-09-16,Chris Christie,5,8,11
2015-09-16,Donald Trump,45,46,162
2015-09-16,Jeb Bush,17,19,27
2015-09-16,John Kasich,1,1,1
2015-09-16,Marco Rubio,5,5,5
2015-09-16,Rand Paul,5,5,7
2015-09-16,Ted Cruz,0,0,0
2015-09-17,Ben Carson,17,21,34
2015-09-17,Carly Fiorina,30,32,112
2015-09-17,Chris Christie,20,24,41
2015-09-17,Donald Trump,50,50,231
2015-09-17,Jeb Bush,23,27,56
2015-09-17,John Kasich,1,1,5
2015-09-17,Marco Rubio,7,7,10
2015-09-17,Rand Paul,11,13,25
2015-09-17,Ted Cruz,2,2,3
2015-09-18,Ben Carson,6,6,13
2015-09-18,Carly Fiorina,13,13,27
2015-09-18,Chris Christie,9,10,13
2015-09-18,Donald Trump,41,42,135
2015-09-18,Jeb Bush,9,9,19
2015-09-18,John Kasich,1,1,1
2015-09-18,Marco Rubio,2,2,2
2015-09-18,Rand Paul,8,8,12
2015-09-18,Ted Cruz,1,1,1
2015-09-19,Ben Carson,1,1,1
2015-09-19,Carly Fiorina,3,3,4
2015-09-19,Chris Christie,2,5,8
2015-09-19,Donald Trump,12,13,36
2015-09-19,Jeb Bush,3,3,3
2015-09-19,John Kasich,1,3,3
2015-09-19,Marco Rubio,0,0,0
2015-09-19,Rand Paul,1,1,1
2015-09-19,Ted Cruz,2,2,3
2015-09-20,Ben Carson,8,9,22
2015-09-20,Carly Fiorina,8,8,25
2015-09-20,Chris Christie,2,2,2
2015-09-20,Donald Trump,30,31,113
2015-09-20,Jeb Bush,5,5,9
2015-09-20,John Kasich,4,4,5
2015-09-20,Marco Rubio,6,7,17
2015-09-20,Rand Paul,2,2,5
2015-09-20,Ted Cruz,5,5,5
2015-09-21,Ben Carson,27,29,61
2015-09-21,Carly Fiorina,17,18,44
2015-09-21,Chris Christie,4,4,4
2015-09-21,Donald Trump,39,40,117
2015-09-21,Jeb Bush,1,1,2
2015-09-21,John Kasich,1,1,2
2015-09-21,Marco Rubio,5,5,6
2015-09-21,Rand Paul,1,1,1
2015-09-21,Ted Cruz,4,4,4
2015-09-22,Ben Carson,16,19,32
2015-09-22,Carly Fiorina,16,18,30
