Date,Term,Contexts,Programs,Total Matches
2014-11-01,Ben Carson,0,0,0
2014-11-01,Carly Fiorina,0,0,0
2014-11-01,Chris Christie,1,3,3
2014-11-01,Donald Trump,1,1,1
2014-11-01,Jeb Bush,0,0,0
2014-11-01,John Kasich,0,0,0
2014-11-01,Marco Rubio,0,0,0
2014-11-01,Rand Paul,2,2,2
2014-11-01,Ted Cruz,0,0,0
2014-11-02,Ben Carson,1,1,1
2014-11-02,Carly Fiorina,0,0,0
2014-11-02,Chris Christie,9,22,35
2014-11-02,Donald Trump,2,2,3
2014-11-02,Jeb Bush,3,3,8
2014-11-02,John Kasich,2,2,5
2014-11-02,Marco Rubio,1,1,1
2014-11-02,Rand Paul,8,9,24
2014-11-02,Ted Cruz,2,2,4
2014-11-03,Ben Carson,0,0,0
2014-11-03,Carly Fiorina,0,0,0
2014-11-03,Chris Christie,11,22,44
2014-11-03,Donald Trump,1,1,1
2014-11-03,Jeb Bush,1,1,2
2014-11-03,John Kasich,2,2,2
2014-11-03,Marco Rubio,0,0,0
2014-11-03,Rand Paul,3,3,11
2014-11-03,Ted Cruz,1,1,1
2014-11-04,Ben Carson,0,0,0
2014-11-04,Carly Fiorina,0,0,0
2014-11-04,Chris Christie,3,6,8
2014-11-04,Donald Trump,3,3,6
2014-11-04,Jeb Bush,2,2,11
2014-11-04,John Kasich,0,0,0
2014-11-04,Marco Rubio,0,0,0
2014-11-04,Rand Paul,3,3,7
2014-11-04,Ted Cruz,1,1,1
2014-11-05,Ben Carson,0,0,0
2014-11-05,Carly Fiorina,0,0,0
2014-11-05,Chris Christie,14,17,45
2014-11-05,Donald Trump,0,0,0
2014-11-05,Jeb Bush,4,6,11
2014-11-05,John Kasich,4,4,5
2014-11-05,Marco Rubio,1,1,1
2014-11-05,Rand Paul,5,5,11
2014-11-05,Ted Cruz,6,6,22
2014-11-06,Ben Carson,0,0,0
2014-11-06,Carly Fiorina,0,0,0
2014-11-06,Chris Christie,3,3,4
2014-11-06,Donald Trump,0,0,0
2014-11-06,Jeb Bush,1,1,1
2014-11-06,John Kasich,0,0,0
2014-11-06,Marco Rubio,0,0,0
2014-11-06,Rand Paul,1,1,3
2014-11-06,Ted Cruz,1,1,1
2014-11-07,Ben Carson,0,0,0
2014-11-07,Carly Fiorina,0,0,0
